county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Starke County, Indiana","22,209","21,768",87,72,40,4,238,"1,162"
"Steuben County, Indiana","33,068","31,842",234,105,187,2,698,"1,367"
"Sullivan County, Indiana","20,097","18,960",878,51,39,9,160,720
"Switzerland County, Indiana","9,406","9,298",16,31,24,0,37,331
"Tippecanoe County, Indiana","169,696","135,611","11,252",725,"13,657",48,"8,403","16,555"
"Tipton County, Indiana","14,817","14,509",46,21,50,2,189,542
"Union County, Indiana","6,908","6,789",21,24,33,8,33,179
"Vanderburgh County, Indiana","169,258","145,199","17,668",438,"2,438",684,"2,831","10,878"
"Vermillion County, Indiana","14,949","14,753",37,31,46,11,71,490
"Vigo County, Indiana","100,518","89,410","7,177",361,"2,013",27,"1,530","5,635"
"Wabash County, Indiana","29,794","28,937",160,149,161,9,378,"1,182"
"Warren County, Indiana","8,187","8,064",8,8,26,1,80,253
"Warrick County, Indiana","61,113","57,756","1,057",111,"1,644",14,531,"2,785"
"Washington County, Indiana","27,235","26,791",117,75,96,10,146,947
"Wayne County, Indiana","62,748","57,392","3,076",203,717,17,"1,343","3,805"
"Wells County, Indiana","27,067","26,322",225,71,130,5,314,"1,113"
"White County, Indiana","23,260","21,657",126,109,98,6,"1,264","1,428"
"Whitley County, Indiana","32,852","32,126",162,99,173,3,289,"1,339"
"Adair County, Iowa","7,262","7,149",46,19,23,2,23,234
"Adams County, Iowa","3,597","3,531",12,19,13,0,22,107
"Allamakee County, Iowa","13,622","12,621",154,91,41,5,710,439
"Appanoose County, Iowa","11,906","11,690",75,24,70,7,40,411
"Audubon County, Iowa","5,527","5,469",17,5,5,1,30,147
"Benton County, Iowa","24,626","24,258",114,34,83,2,135,949
"Black Hawk County, Iowa","124,003","102,832","13,676",422,"3,427",854,"2,792","7,141"
"Boone County, Iowa","25,660","24,943",301,65,100,3,248,"1,055"
"Bremer County, Iowa","24,240","23,597",239,46,196,2,160,748
"Buchanan County, Iowa","19,960","19,696",72,28,52,12,100,605
"Buena Vista County, Iowa","18,625","12,597",591,124,"1,907",620,"2,786","2,198"
"Butler County, Iowa","13,974","13,827",26,25,28,0,68,360
"Calhoun County, Iowa","9,651","9,357",152,24,26,8,84,276
"Carroll County, Iowa","20,166","19,543",262,32,75,0,254,594
"Cass County, Iowa","12,700","12,413",29,25,35,78,120,427
"Cedar County, Iowa","17,818","17,472",83,52,62,2,147,687
"Cerro Gordo County, Iowa","40,987","38,618",930,143,535,137,624,"2,140"
"Cherokee County, Iowa","11,260","10,831",87,33,57,14,238,398
"Chickasaw County, Iowa","11,566","11,252",80,21,30,7,176,446
"Clarke County, Iowa","9,083","8,231",44,55,81,40,632,665
"Clay County, Iowa","15,762","15,230",100,56,105,6,265,622
"Clayton County, Iowa","16,618","16,229",158,43,47,6,135,425
"Clinton County, Iowa","44,116","41,771","1,420",142,263,14,506,"2,344"
"Crawford County, Iowa","14,763","11,262",394,162,308,4,"2,633","1,762"
"Dallas County, Iowa","93,884","83,359","2,698",224,"5,009",38,"2,556","5,794"
"Davis County, Iowa","8,881","8,797",8,11,15,0,50,229
"Decatur County, Iowa","7,373","7,081",108,20,39,24,101,272
"Delaware County, Iowa","17,094","16,787",122,50,48,1,86,394
"Des Moines County, Iowa","36,675","33,164","2,532",78,403,22,476,"2,235"
"Dickinson County, Iowa","17,144","16,819",79,21,82,1,142,559
"Dubuque County, Iowa","95,632","88,314","4,126",261,"1,028",829,"1,074","3,634"
"Emmet County, Iowa","8,904","8,356",92,54,32,3,367,484
"Fayette County, Iowa","18,746","18,271",203,40,78,1,153,763
"Floyd County, Iowa","15,035","14,094",419,33,295,12,182,592
"Franklin County, Iowa","9,280","8,366",32,68,50,0,764,739
"Fremont County, Iowa","6,318","6,201",11,19,11,5,71,287
"Greene County, Iowa","8,439","8,258",28,16,50,1,86,332
"Grundy County, Iowa","11,955","11,836",49,10,24,0,36,374
"Guthrie County, Iowa","10,289","10,032",36,23,38,16,144,334
"Hamilton County, Iowa","14,250","13,079",103,77,319,0,672,789
"Hancock County, Iowa","10,290","9,959",76,39,25,5,186,505
"Hardin County, Iowa","16,154","15,465",147,32,91,6,413,724
"Harrison County, Iowa","14,113","13,922",27,29,50,3,82,469
"Henry County, Iowa","19,506","17,990",506,86,453,8,463,976
"Howard County, Iowa","9,161","8,940",23,48,27,7,116,308
"Humboldt County, Iowa","9,289","8,920",56,16,21,6,270,308
"Ida County, Iowa","6,817","6,662",31,4,22,11,87,188
"Iowa County, Iowa","16,035","15,571",111,35,94,1,223,627
"Jackson County, Iowa","18,983","18,461",152,43,46,192,89,502
"Jasper County, Iowa","36,317","34,866",703,124,215,30,379,"1,496"
"Jefferson County, Iowa","14,860","13,565",419,55,500,9,312,803
"Johnson County, Iowa","143,105","117,090","12,847",322,"8,599",43,"4,204","9,749"
"Jones County, Iowa","19,977","19,244",441,54,59,2,177,669
"Keokuk County, Iowa","9,713","9,547",51,15,16,0,84,320
"Kossuth County, Iowa","14,313","13,916",78,14,74,3,228,515
"Lee County, Iowa","31,766","30,336",910,72,140,8,300,"1,789"
"Linn County, Iowa","216,562","190,644","16,449",548,"5,374",528,"3,019","13,737"
"Louisa County, Iowa","10,072","8,834",78,54,270,0,836,765
"Lucas County, Iowa","8,353","8,207",23,7,29,0,87,281
"Lyon County, Iowa","11,599","11,270",41,32,24,46,186,335
"Madison County, Iowa","15,884","15,609",50,25,85,13,102,664
"Mahaska County, Iowa","21,307","20,453",394,41,253,15,151,883
"Marion County, Iowa","32,156","31,156",292,69,401,21,217,"1,258"
"Marshall County, Iowa","36,399","29,579",815,330,"1,517",33,"4,125","3,706"
"Mills County, Iowa","13,783","13,504",77,30,48,10,114,701
"Mitchell County, Iowa","10,298","10,107",42,12,46,4,87,267
"Monona County, Iowa","8,404","8,141",28,146,28,2,59,347
"Monroe County, Iowa","7,339","7,225",19,13,16,2,64,238
"Montgomery County, Iowa","9,956","9,698",25,35,26,2,170,374
"Muscatine County, Iowa","39,828","34,598","1,141",214,406,0,"3,469","3,407"
"O'Brien County, Iowa","13,533","12,825",161,80,80,11,376,649
"Osceola County, Iowa","5,879","5,485",30,32,21,36,275,313
"Page County, Iowa","14,558","13,858",365,62,124,0,149,653
"Palo Alto County, Iowa","8,689","8,465",52,23,39,6,104,307
"Plymouth County, Iowa","24,622","23,289",356,88,116,117,656,"1,076"
"Pocahontas County, Iowa","6,780","6,459",66,21,29,23,182,298
"Polk County, Iowa","455,712","373,903","35,623","2,274","24,510",302,"19,100","36,689"
"Pottawattamie County, Iowa","88,128","81,329","1,889",655,785,80,"3,390","5,539"
"Poweshiek County, Iowa","18,018","17,209",328,65,223,21,172,644
"Ringgold County, Iowa","4,508","4,469",3,7,8,1,20,155
"Sac County, Iowa","9,528","9,271",46,11,31,9,160,286
"Scott County, Iowa","161,757","138,752","14,117",585,"4,858",61,"3,384","12,912"
"Shelby County, Iowa","11,336","10,990",53,55,49,4,185,410
"Sioux County, Iowa","33,628","30,745",195,218,224,5,"2,241","2,244"
"Story County, Iowa","92,525","81,046","3,019",324,"5,461",34,"2,641","6,012"
"Tama County, Iowa","16,072","13,658",137,"1,427",81,2,767,"1,063"
"Taylor County, Iowa","5,646","5,412",2,17,15,4,196,250
"Union County, Iowa","11,697","11,365",118,38,65,7,104,441
"Van Buren County, Iowa","7,004","6,923",28,7,24,0,22,199
"Wapello County, Iowa","33,402","28,180","1,469",232,629,520,"2,372","2,035"
"Warren County, Iowa","50,023","48,539",455,98,383,22,526,"2,380"
"Washington County, Iowa","21,507","20,374",188,70,116,3,756,"1,058"
"Wayne County, Iowa","6,327","6,261",10,17,25,2,12,170
"Webster County, Iowa","35,098","32,108","1,825",176,303,16,670,"1,901"
"Winnebago County, Iowa","10,259","9,665",214,22,98,3,257,420
"Winneshiek County, Iowa","19,509","18,852",131,34,178,12,302,561
"Woodbury County, Iowa","96,330","76,794","5,197","2,515","3,008",661,"8,155","9,611"
"Worth County, Iowa","7,182","7,041",60,8,32,1,40,261
"Wright County, Iowa","12,099","10,542",75,86,69,8,"1,319",844
"Allen County, Kansas","11,744","11,180",186,150,67,2,159,782
"Anderson County, Kansas","7,506","7,312",26,53,47,2,66,330
"Atchison County, Kansas","15,346","14,111",788,88,83,7,269,"1,002"
"Barber County, Kansas","4,011","3,857",8,34,16,5,91,217
"Barton County, Kansas","23,556","21,157",312,149,80,3,"1,855","1,937"
"Bourbon County, Kansas","13,400","12,585",469,100,98,2,146,960
"Brown County, Kansas","8,901","7,772",100,872,45,7,105,607
"Butler County, Kansas","62,152","58,119","1,463",569,"1,005",39,957,"5,228"
"Chase County, Kansas","2,464","2,271",20,16,8,3,146,108
"Chautauqua County, Kansas","3,154","2,847",23,189,19,0,76,225
"Cherokee County, Kansas","17,593","16,475",80,799,65,26,148,"1,769"
"Cheyenne County, Kansas","2,413","2,282",7,7,12,0,105,203
"Clark County, Kansas","1,866","1,724",6,21,24,1,90,125
"Clay County, Kansas","7,761","7,542",50,50,53,0,66,356
"Cloud County, Kansas","8,631","8,338",123,44,40,9,77,401
"Coffey County, Kansas","7,954","7,777",45,37,44,1,50,406
"Comanche County, Kansas","1,599","1,560",12,2,0,1,24,90
"Cowley County, Kansas","31,201","27,413",895,784,505,179,"1,425","3,348"
"Crawford County, Kansas","35,798","32,587",913,373,461,193,"1,271","3,174"
"Decatur County, Kansas","2,645","2,605",9,9,15,0,7,119
"Dickinson County, Kansas","17,367","16,814",117,87,80,21,248,"1,035"
"Doniphan County, Kansas","7,169","6,701",268,83,32,19,66,341
"Douglas County, Kansas","108,285","92,694","5,301","2,950","4,685",86,"2,569","10,500"
"Edwards County, Kansas","2,645","2,400",14,17,2,1,211,262
"Elk County, Kansas","2,328","2,253",5,48,4,0,18,155
"Ellis County, Kansas","27,284","25,584",340,96,266,2,996,"1,650"
"Ellsworth County, Kansas","6,059","5,655",254,53,31,0,66,317
"Finney County, Kansas","29,845","19,812","1,542",367,"1,548",35,"6,541","8,625"
"Ford County, Kansas","27,738","17,167",978,753,417,14,"8,409","6,549"
"Franklin County, Kansas","24,208","23,187",305,220,108,7,381,"1,788"
"Geary County, Kansas","31,875","21,857","6,303",325,"1,250",458,"1,682","4,864"
"Gove County, Kansas","2,571","2,516",5,3,15,1,31,147
"Graham County, Kansas","2,314","2,212",57,14,14,3,14,101
"Grant County, Kansas","5,926","4,223",10,164,14,5,"1,510","1,426"
"Gray County, Kansas","5,205","4,879",19,15,14,0,278,448
"Greeley County, Kansas","1,179","1,075",2,12,5,1,84,105
"Greenwood County, Kansas","5,646","5,494",28,35,36,1,52,370
"Hamilton County, Kansas","2,180","1,597",13,27,5,0,538,338
"Harper County, Kansas","5,168","4,829",17,98,15,5,204,317
"Harvey County, Kansas","31,329","28,658",650,267,261,11,"1,482","2,695"
"Haskell County, Kansas","3,425","2,842",13,11,2,0,557,355
"Hodgeman County, Kansas","1,642","1,584",14,12,12,1,19,81
"Jackson County, Kansas","12,260","10,727",103,"1,213",34,18,165,972
"Jefferson County, Kansas","17,226","16,797",103,128,43,31,124,"1,142"
"Jewell County, Kansas","2,803","2,757",5,12,10,0,19,129
"Johnson County, Kansas","556,797","473,342","28,781","2,568","33,030",384,"18,692","53,066"
"Kearny County, Kansas","3,237","2,661",41,35,7,1,492,746
"Kingman County, Kansas","7,137","6,925",38,36,35,4,99,333
"Kiowa County, Kansas","2,289","2,184",43,12,16,4,30,171
"Labette County, Kansas","18,146","16,464",867,451,91,9,264,"2,038"
"Lane County, Kansas","1,468","1,406",0,8,0,3,51,106
"Leavenworth County, Kansas","74,764","64,640","6,858",697,"1,103",153,"1,313","7,117"
"Lincoln County, Kansas","2,821","2,740",8,16,10,1,46,118
"Linn County, Kansas","9,093","8,906",67,48,20,8,44,498
"Logan County, Kansas","2,618","2,513",5,1,10,2,87,144
"Lyon County, Kansas","29,082","23,801",651,266,574,16,"3,774","3,097"
"McPherson County, Kansas","28,505","26,965",478,151,225,13,673,"1,718"
"Marion County, Kansas","11,310","10,910",122,54,39,7,178,513
"Marshall County, Kansas","9,649","9,480",42,23,46,2,56,389
"Meade County, Kansas","3,640","3,262",37,12,13,0,316,415
"Miami County, Kansas","32,003","30,907",436,166,161,16,317,"2,188"
"Mitchell County, Kansas","5,574","5,490",19,12,13,0,40,222
"Montgomery County, Kansas","28,060","24,297","1,566","1,023",201,24,949,"3,426"
"Morris County, Kansas","5,098","4,985",16,15,18,1,63,288
"Morton County, Kansas","2,427","2,076",20,16,31,9,275,274
"Nemaha County, Kansas","9,945","9,700",64,39,39,7,96,328
"Neosho County, Kansas","14,763","14,105",148,166,84,6,254,"1,141"
"Ness County, Kansas","2,545","2,347",2,19,2,2,173,142
"Norton County, Kansas","5,200","4,863",210,42,35,2,48,259
"Osage County, Kansas","14,941","14,706",33,48,52,3,99,825
"Osborne County, Kansas","3,371","3,304",1,19,18,0,29,129
"Ottawa County, Kansas","5,431","5,338",30,22,11,0,30,304
"Pawnee County, Kansas","5,807","5,361",249,38,28,3,128,446
"Phillips County, Kansas","4,768","4,684",19,22,15,1,27,213
"Pottawatomie County, Kansas","23,575","22,618",286,150,200,27,294,"1,773"
"Pratt County, Kansas","8,652","8,104",106,67,45,7,323,505
"Rawlins County, Kansas","2,389","2,283",19,3,11,0,73,172
"Reno County, Kansas","57,319","52,761","1,863",519,352,48,"1,776","4,579"
"Republic County, Kansas","4,496","4,437",15,13,11,9,11,178
"Rice County, Kansas","8,529","7,853",145,63,30,0,438,898
"Riley County, Kansas","65,932","54,567","5,011",440,"3,367",225,"2,322","6,027"
"Rooks County, Kansas","4,696","4,619",29,21,5,10,12,223
"Rush County, Kansas","2,843","2,800",7,4,14,0,18,113
"Russell County, Kansas","6,322","6,138",60,32,28,0,64,369
"Saline County, Kansas","49,026","43,415","1,830",349,"1,139",31,"2,262","5,277"
"Scott County, Kansas","4,580","4,173",14,44,16,8,325,571
"Sedgwick County, Kansas","466,162","357,757","46,531","6,581","22,511",575,"32,207","57,662"
"Seward County, Kansas","16,737","9,015",672,527,535,6,"5,982","5,227"
"Shawnee County, Kansas","159,926","132,398","14,211","2,213","2,521",180,"8,403","18,983"
"Sheridan County, Kansas","2,331","2,257",3,11,12,2,46,116
"Sherman County, Kansas","5,493","5,025",103,19,17,1,328,434
"Smith County, Kansas","3,468","3,390",17,15,9,1,36,102
"Stafford County, Kansas","3,739","3,500",14,36,13,1,175,333
"Stanton County, Kansas","1,757","1,257",14,44,2,1,439,327
"Stevens County, Kansas","4,654","3,484",20,62,22,0,"1,066",596
"Sumner County, Kansas","20,810","19,934",205,240,73,0,358,"1,572"
"Thomas County, Kansas","7,487","7,100",108,48,47,0,184,443
"Trego County, Kansas","2,675","2,644",5,5,12,0,9,133
"Wabaunsee County, Kansas","6,449","6,303",31,40,18,4,53,428
"Wallace County, Kansas","1,426","1,370",3,5,0,2,46,86
"Washington County, Kansas","5,288","5,153",13,5,4,2,111,242
"Wichita County, Kansas","1,850","1,547",3,23,2,2,273,302
"Wilson County, Kansas","7,994","7,759",22,88,35,2,88,630
"Woodson County, Kansas","2,945","2,890",8,30,0,0,17,170
"Wyandotte County, Kansas","143,962","73,721","34,589","1,917","7,705",387,"25,643","25,283"
"Adair County, Kentucky","18,226","17,322",529,34,64,6,271,677
"Allen County, Kentucky","19,690","19,135",204,50,48,7,246,898
"Anderson County, Kentucky","22,706","21,797",492,60,105,7,245,"1,146"
"Ballard County, Kentucky","7,362","7,103",208,13,33,0,5,366
"Barren County, Kentucky","42,257","39,270","1,724",147,260,54,802,"2,228"
"Bath County, Kentucky","12,405","12,192",128,4,21,1,59,345
"Bell County, Kentucky","23,246","22,388",558,37,124,4,135,851
"Boone County, Kentucky","127,288","114,457","5,728",443,"3,078",307,"3,275","8,680"
"Bourbon County, Kentucky","19,179","17,076","1,035",60,77,9,922,"1,073"
"Boyd County, Kentucky","46,302","44,282","1,310",116,278,7,309,"1,959"
"Boyle County, Kentucky","28,604","25,365","2,194",61,361,4,619,"2,010"
"Bracken County, Kentucky","8,107","7,994",51,14,13,2,33,293
"Breathitt County, Kentucky","13,217","13,083",57,11,39,11,16,501
"Breckinridge County, Kentucky","19,467","18,831",426,46,39,3,122,965
"Bullitt County, Kentucky","77,888","75,417","1,045",212,451,25,738,"4,329"
"Butler County, Kentucky","11,944","11,464",15,32,23,3,407,427
"Caldwell County, Kentucky","12,071","11,244",674,25,56,2,70,578
"Calloway County, Kentucky","34,996","32,626","1,313",64,435,11,547,"2,107"
"Campbell County, Kentucky","88,583","83,361","2,832",203,"1,034",30,"1,123","4,493"
"Carlisle County, Kentucky","4,642","4,531",63,29,10,0,9,184
"Carroll County, Kentucky","10,153","9,567",184,40,44,4,314,657
"Carter County, Kentucky","25,978","25,560",212,58,63,1,84,649
"Casey County, Kentucky","15,498","14,974",83,53,55,1,332,443
"Christian County, Kentucky","67,633","48,279","15,527",389,973,246,"2,219","5,115"
"Clark County, Kentucky","35,239","32,555","1,648",98,212,17,709,"1,733"
"Clay County, Kentucky","19,861","18,891",839,32,23,11,65,484
"Clinton County, Kentucky","8,959","8,745",40,22,10,3,139,294
"Crittenden County, Kentucky","8,706","8,559",82,15,6,5,39,284
"Cumberland County, Kentucky","5,666","5,462",150,6,4,6,38,222
"Daviess County, Kentucky","97,953","88,425","4,872",262,"2,427",59,"1,908","5,359"
"Edmonson County, Kentucky","11,764","11,546",98,32,32,7,49,362
"Elliott County, Kentucky","7,237","6,903",246,19,18,0,51,117
"Estill County, Kentucky","13,763","13,666",30,30,7,0,30,400
"Fayette County, Kentucky","299,720","220,236","48,076","1,105","13,427",144,"16,732","22,850"
"Fleming County, Kentucky","14,712","14,381",148,35,17,3,128,370
"Floyd County, Kentucky","35,155","34,828",122,33,97,1,74,787
"Franklin County, Kentucky","48,439","41,736","4,481",162,"1,032",17,"1,011","3,102"
"Fulton County, Kentucky","6,168","4,599","1,444",26,21,11,67,347
"Gallatin County, Kentucky","8,238","7,862",74,23,13,7,259,452
"Garrard County, Kentucky","16,155","15,581",302,37,51,9,175,798
"Grant County, Kentucky","23,676","23,002",195,51,67,33,328,"1,265"
"Graves County, Kentucky","34,447","31,149","1,564",128,181,4,"1,421","2,202"
"Grayson County, Kentucky","25,543","24,904",310,77,96,2,154,877
"Green County, Kentucky","10,755","10,447",160,20,31,2,95,352
"Greenup County, Kentucky","34,770","34,096",220,74,230,5,145,"1,192"
"Hancock County, Kentucky","8,809","8,624",79,4,38,0,64,286
"Hardin County, Kentucky","101,302","82,959","12,825",490,"2,277",421,"2,330","9,400"
"Harlan County, Kentucky","25,904","25,107",541,56,85,0,115,927
"Harrison County, Kentucky","17,914","17,357",307,34,46,1,169,778
"Hart County, Kentucky","18,509","17,577",705,39,47,6,135,779
"Henderson County, Kentucky","42,460","37,648","3,652",101,241,44,774,"2,333"
"Henry County, Kentucky","14,943","14,215",372,60,36,0,260,735
"Hickman County, Kentucky","4,331","3,902",386,14,11,1,17,190
"Hopkins County, Kentucky","43,177","39,331","2,947",98,232,29,540,"2,246"
"Jackson County, Kentucky","12,664","12,559",12,41,19,4,29,291
"Jefferson County, Kentucky","725,795","499,868","168,910","2,502","27,115",612,"26,788","57,174"
"Jessamine County, Kentucky","49,976","45,878","2,290",135,658,28,987,"3,015"
"Johnson County, Kentucky","22,177","21,933",45,39,101,4,55,503
"Kenton County, Kentucky","158,566","143,992","8,195",445,"2,032",244,"3,658","10,498"
"Knott County, Kentucky","13,977","13,861",67,9,18,1,21,274
"Knox County, Kentucky","29,194","28,616",296,87,85,1,109,999
"Larue County, Kentucky","14,174","13,490",377,56,29,18,204,693
"Laurel County, Kentucky","60,347","58,888",447,169,429,4,410,"2,266"
"Lawrence County, Kentucky","15,898","15,787",36,2,23,4,46,395
"Lee County, Kentucky","7,226","6,909",280,2,0,0,35,169
"Leslie County, Kentucky","10,291","10,197",45,22,16,0,11,222
"Letcher County, Kentucky","21,062","20,841",92,34,57,0,38,486
"Lewis County, Kentucky","12,725","12,633",36,18,9,4,25,355
"Lincoln County, Kentucky","23,426","22,671",470,40,60,2,183,849
"Livingston County, Kentucky","8,439","8,287",25,25,15,6,81,449
"Logan County, Kentucky","26,226","23,902","1,682",59,95,2,486,"1,206"
"Lyon County, Kentucky","8,428","7,772",510,27,34,1,84,252
"McCracken County, Kentucky","63,772","54,304","7,598",214,663,18,975,"4,103"
"McCreary County, Kentucky","16,399","15,315",916,64,32,3,69,489
"McLean County, Kentucky","8,889","8,737",49,10,13,2,78,263
"Madison County, Kentucky","87,075","80,557","3,963",271,"1,006",60,"1,218","5,626"
"Magoffin County, Kentucky","11,431","11,360",14,14,5,6,32,206
"Marion County, Kentucky","18,705","16,948","1,214",23,134,47,339,876
"Marshall County, Kentucky","30,378","29,908",101,69,136,9,155,"1,281"
"Martin County, Kentucky","11,120","10,259",796,42,17,1,5,167
"Mason County, Kentucky","16,210","14,867","1,024",40,111,0,168,910
"Meade County, Kentucky","28,080","26,321",987,139,218,74,341,"1,923"
"Menifee County, Kentucky","5,951","5,891",30,12,2,2,14,162
"Mercer County, Kentucky","21,548","20,268",768,62,74,14,362,"1,093"
"Metcalfe County, Kentucky","9,966","9,701",117,5,7,0,136,320
"Monroe County, Kentucky","11,027","10,489",218,39,11,0,270,311
"Montgomery County, Kentucky","26,859","25,566",621,57,146,1,468,"1,255"
"Morgan County, Kentucky","13,173","12,570",496,20,17,4,66,553
"Muhlenberg County, Kentucky","29,930","28,366","1,215",65,59,3,222,998
"Nelson County, Kentucky","44,533","41,500","2,200",95,268,8,462,"2,205"
"Nicholas County, Kentucky","7,310","7,178",41,15,7,3,66,227
"Ohio County, Kentucky","22,985","22,070",166,57,45,3,644,787
"Oldham County, Kentucky","63,337","58,537","2,244",200,"1,177",17,"1,162","4,270"
"Owen County, Kentucky","10,813","10,550",83,26,18,4,132,465
"Owsley County, Kentucky","3,938","3,905",14,6,3,5,5,113
"Pendleton County, Kentucky","14,120","13,904",56,21,30,4,105,524
"Perry County, Kentucky","27,610","26,820",375,57,255,1,102,863
"Pike County, Kentucky","57,191","55,974",496,81,373,14,253,"1,478"
"Powell County, Kentucky","12,776","12,559",66,28,30,0,93,353
"Pulaski County, Kentucky","62,275","60,111",695,210,440,13,806,"2,759"
"Robertson County, Kentucky","2,131","2,112",6,3,7,0,3,62
"Rockcastle County, Kentucky","15,586","15,378",60,35,30,0,83,451
"Rowan County, Kentucky","23,859","22,914",383,47,170,5,340,803
"Russell County, Kentucky","17,390","16,733",113,78,104,3,359,601
"Scott County, Kentucky","53,496","48,523","2,951",185,594,25,"1,218","3,659"
"Shelby County, Kentucky","44,499","38,653","2,755",257,369,33,"2,432","3,566"
"Simpson County, Kentucky","18,499","16,374","1,640",80,94,8,303,"1,095"
"Spencer County, Kentucky","18,495","17,910",299,38,90,12,146,995
"Taylor County, Kentucky","24,860","22,938","1,255",32,246,10,379,"1,163"
"Todd County, Kentucky","11,664","10,354",887,43,22,6,352,579
"Trigg County, Kentucky","13,442","12,309",952,35,27,6,113,619
"Trimble County, Kentucky","8,141","7,992",30,38,27,4,50,333
"Union County, Kentucky","13,076","11,873","1,041",27,32,1,102,592
"Warren County, Kentucky","126,031","99,453","12,933",481,"7,326",682,"5,156","8,523"
"Washington County, Kentucky","11,548","10,538",659,30,38,5,278,479
"Wayne County, Kentucky","18,949","18,139",240,49,62,6,453,606
"Webster County, Kentucky","12,456","11,440",485,95,26,1,409,561
"Whitley County, Kentucky","35,450","34,307",568,92,207,10,266,"1,262"
"Wolfe County, Kentucky","6,454","6,383",27,10,5,8,21,108
"Woodford County, Kentucky","25,261","22,701","1,248",108,159,12,"1,033","1,610"
"Acadia Parish, Louisiana","55,603","44,480","9,989",152,163,2,817,"1,973"
"Allen Parish, Louisiana","21,679","16,327","4,102",539,183,7,521,"1,071"
"Ascension Parish, Louisiana","118,718","81,141","30,521",513,"1,709",33,"4,801","7,782"
"Assumption Parish, Louisiana","20,184","13,722","6,013",102,62,0,285,855
"Avoyelles Parish, Louisiana","37,886","25,625","10,706",364,359,9,823,"1,807"
"Beauregard Parish, Louisiana","34,566","29,529","4,111",304,223,32,367,"1,983"
"Bienville Parish, Louisiana","12,406","6,950","5,307",62,21,5,61,575
"Bossier Parish, Louisiana","119,411","81,052","30,099",797,"2,396",119,"4,948","9,335"
"Caddo Parish, Louisiana","226,988","103,457","115,298","1,093","3,206",126,"3,808","10,860"
"Calcasieu Parish, Louisiana","204,918","139,772","55,263","1,100","3,827",138,"4,818","11,867"
"Caldwell Parish, Louisiana","9,301","7,646","1,534",19,42,3,57,344
"Cameron Parish, Louisiana","5,416","5,232",72,28,13,1,70,201
"Catahoula Parish, Louisiana","8,662","5,776","2,297",46,28,6,509,244
"Claiborne Parish, Louisiana","13,741","7,263","6,184",43,42,0,209,429
"Concordia Parish, Louisiana","18,140","10,275","7,518",50,117,0,180,547
"De Soto Parish, Louisiana","25,675","15,284","9,621",269,99,0,402,"1,137"
"East Baton Rouge Parish, Louisiana","434,158","196,069","206,681","1,285","14,499",121,"15,503","22,623"
"East Carroll Parish, Louisiana","7,299","2,054","5,188",3,19,0,35,160
"East Feliciana Parish, Louisiana","18,939","11,516","7,139",61,48,11,164,600
"Evangeline Parish, Louisiana","31,181","21,354","8,664",57,183,2,921,"1,169"
"Franklin Parish, Louisiana","19,195","12,492","6,554",31,41,0,77,579
"Grant Parish, Louisiana","21,200","17,709","3,108",206,67,6,104,969
"Iberia Parish, Louisiana","66,207","39,206","23,162",307,"1,943",3,"1,586","3,722"
"Iberville Parish, Louisiana","29,165","14,833","13,377",67,123,13,752,"1,076"
"Jackson Parish, Louisiana","14,418","9,967","3,956",37,149,5,304,613
"Jefferson Parish, Louisiana","397,972","220,935","117,892","2,524","19,780",152,"36,689","42,809"
"Jefferson Davis Parish, Louisiana","30,821","25,066","5,148",168,100,14,325,"1,429"
"Lafayette Parish, Louisiana","227,471","153,363","61,086",961,"5,268",76,"6,717","14,282"
"Lafourche Parish, Louisiana","92,250","71,710","14,640","2,554",773,31,"2,542","5,307"
"LaSalle Parish, Louisiana","14,298","11,348","1,299",135,252,10,"1,254",493
"Lincoln Parish, Louisiana","46,477","26,034","18,729",188,685,5,836,"1,919"
"Livingston Parish, Louisiana","133,278","116,855","11,268",463,"1,123",38,"3,531","9,004"
"Madison Parish, Louisiana","9,784","3,475","6,224",29,6,5,45,233
"Morehouse Parish, Louisiana","24,697","12,281","12,048",85,96,3,184,932
"Natchitoches Parish, Louisiana","35,633","19,361","14,948",326,173,20,805,"1,882"
"Orleans Parish, Louisiana","359,331","126,462","208,273","1,337","10,703",147,"12,409","24,666"
"Ouachita Parish, Louisiana","153,589","88,545","59,083",510,"2,291",42,"3,118","6,779"
"Plaquemines Parish, Louisiana","21,534","14,287","4,920",285,"1,053",40,949,"1,981"
"Pointe Coupee Parish, Louisiana","20,028","12,395","7,245",50,65,2,271,730
"Rapides Parish, Louisiana","123,167","77,510","40,484","1,026","1,828",35,"2,284","6,856"
"Red River Parish, Louisiana","7,275","4,195","2,965",47,1,0,67,345
"Richland Parish, Louisiana","19,397","11,785","7,336",55,50,0,171,646
"Sabine Parish, Louisiana","20,792","15,036","3,529","1,926",63,12,226,"1,363"
"St. Bernard Parish, Louisiana","39,443","24,497","11,507",323,997,18,"2,101","4,321"
"St. Charles Parish, Louisiana","48,853","33,550","13,133",259,576,20,"1,315","3,696"
"St. Helena Parish, Louisiana","10,567","4,527","5,861",45,20,7,107,353
