county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Kenai Peninsula Borough, Alaska","52,811","46,382",386,"4,228",809,182,824,"5,988"
"Ketchikan Gateway Borough, Alaska","12,246","8,430",103,"2,334","1,129",26,224,"1,702"
"Kodiak Island Borough, Alaska","11,794","6,570",90,"1,826","2,803",117,388,"1,307"
"Kusilvak Census Area, Alaska","8,176",173,16,"7,946",23,0,18,192
"Lake and Peninsula Borough, Alaska","1,309",303,2,994,9,1,0,167
"Matanuska-Susitna Borough, Alaska","94,782","83,035","1,121","6,844","1,559",506,"1,717","12,299"
"Nome Census Area, Alaska","9,205","1,422",55,"7,556",111,5,56,841
"North Slope Borough, Alaska","10,072","3,082",162,"5,748",641,321,118,959
"Northwest Arctic Borough, Alaska","7,331",700,72,"6,469",55,12,23,462
"Petersburg Borough, Alaska","2,962","2,470",49,247,123,12,61,436
"Prince of Wales-Hyder Census Area, Alaska","5,095","2,403",22,"2,584",27,30,29,658
"Sitka City and Borough, Alaska","7,261","5,174",37,"1,248",573,14,215,"1,197"
"Skagway Municipality, Alaska","1,160","1,070",10,32,39,0,9,80
"Southeast Fairbanks Census Area, Alaska","6,216","5,085",74,817,87,16,137,592
"Wrangell City and Borough, Alaska","1,789","1,352",0,380,25,2,30,338
"Yakutat City and Borough, Alaska",544,249,4,255,32,1,3,118
"Yukon-Koyukuk Census Area, Alaska","5,008","1,130",7,"3,832",8,3,28,335
"Apache County, Arizona","63,631","14,873",185,"47,016",312,20,"1,225","2,390"
"Cochise County, Arizona","103,904","81,733","4,783","1,510","2,712",488,"12,678","21,543"
"Coconino County, Arizona","132,138","83,360","1,961","36,225","2,674",262,"7,656","12,963"
"Gila County, Arizona","48,680","35,904",282,"8,928",445,48,"3,073","4,592"
"Graham County, Arizona","34,407","25,043",537,"5,390",192,20,"3,225","4,126"
"Greenlee County, Arizona","7,999","6,584",87,355,75,5,893,"1,564"
"La Paz County, Arizona","14,496","9,772",114,"2,833",115,49,"1,613","2,061"
"Maricopa County, Arizona","3,819,893","2,645,512","260,469","100,645","203,696","10,966","598,605","600,675"
"Mohave County, Arizona","192,957","169,732","2,221","5,185","2,734",409,"12,676","20,310"
"Navajo County, Arizona","100,434","48,430",760,"47,442",567,86,"3,149","6,283"
"Pima County, Arizona","869,188","633,382","39,954","34,593","31,367","2,229","127,663","174,245"
"Pinal County, Arizona","370,288","269,258","21,968","21,128","6,718","1,219","49,997","54,976"
"Santa Cruz County, Arizona","30,658","15,929",187,457,304,19,"13,762","17,011"
"Yavapai County, Arizona","213,970","192,507","1,543","4,283","2,932",294,"12,411","22,239"
"Yuma County, Arizona","152,053","90,318","4,099","3,522","2,587",283,"51,244","51,828"
"Arkansas County, Arkansas","16,406","11,698","4,156",44,94,9,405,743
"Ashley County, Arkansas","18,355","12,958","4,669",56,41,6,625,707
"Baxter County, Arkansas","39,404","38,489",90,255,234,9,327,"2,223"
"Benton County, Arkansas","252,922","201,188","4,732","5,093","13,721","2,629","25,559","31,411"
"Boone County, Arkansas","35,045","34,128",108,276,246,28,259,"2,328"
"Bradley County, Arkansas","10,105","5,890","2,937",92,30,0,"1,156",440
"Calhoun County, Arkansas","4,531","3,539",913,10,6,9,54,208
"Carroll County, Arkansas","25,902","21,952",95,369,567,444,"2,475","2,358"
"Chicot County, Arkansas","9,867","3,953","5,417",36,38,9,414,341
"Clark County, Arkansas","20,333","14,316","5,127",96,153,18,623,"1,113"
"Clay County, Arkansas","13,937","13,731",42,44,15,8,97,615
"Cleburne County, Arkansas","23,500","22,953",69,133,102,11,232,"1,211"
"Cleveland County, Arkansas","7,282","6,466",686,35,7,1,87,268
"Columbia County, Arkansas","21,960","13,371","7,866",74,168,0,481,841
"Conway County, Arkansas","19,274","16,367","2,209",167,90,8,433,"1,441"
"Craighead County, Arkansas","104,667","80,639","18,473",356,"1,692",61,"3,446","6,564"
"Crawford County, Arkansas","54,317","48,610",897,"1,486",947,35,"2,342","5,816"
"Crittenden County, Arkansas","46,344","19,276","25,905",136,327,17,683,"1,819"
"Cross County, Arkansas","16,172","12,213","3,658",48,102,5,146,661
"Dallas County, Arkansas","6,206","3,487","2,592",17,7,0,103,276
"Desha County, Arkansas","10,882","4,845","5,398",47,61,4,527,513
"Drew County, Arkansas","16,714","11,291","4,846",90,108,13,366,636
"Faulkner County, Arkansas","114,076","94,088","14,384",719,"1,475",73,"3,337","9,422"
"Franklin County, Arkansas","16,016","15,367",79,214,163,10,183,"1,081"
"Fulton County, Arkansas","11,440","11,249",27,66,35,0,63,635
"Garland County, Arkansas","92,181","78,837","8,128",802,972,71,"3,371","7,999"
"Grant County, Arkansas","17,099","16,304",458,81,77,1,178,859
"Greene County, Arkansas","43,306","41,038",933,163,181,292,699,"2,430"
"Hempstead County, Arkansas","18,713","11,006","5,683",140,96,5,"1,783","1,352"
"Hot Spring County, Arkansas","30,970","26,525","3,472",189,114,11,659,"2,070"
"Howard County, Arkansas","12,025","8,164","2,642",114,63,6,"1,036",760
"Independence County, Arkansas","35,512","32,108",849,243,345,33,"1,934","2,426"
"Izard County, Arkansas","12,810","12,306",256,87,27,11,123,767
"Jackson County, Arkansas","16,057","12,890","2,786",47,63,4,267,698
"Jefferson County, Arkansas","65,189","25,478","37,835",240,673,94,869,"2,071"
"Johnson County, Arkansas","23,758","20,088",482,274,926,36,"1,952","1,991"
"Lafayette County, Arkansas","6,084","3,906","2,057",36,32,5,48,224
"Lawrence County, Arkansas","15,465","15,044",143,52,39,12,175,751
"Lee County, Arkansas","8,303","3,465","4,663",39,13,2,121,297
"Lincoln County, Arkansas","12,433","8,324","3,652",41,23,9,384,508
"Little River County, Arkansas","11,265","8,714","2,178",170,23,9,171,761
"Logan County, Arkansas","19,860","18,826",232,241,328,8,225,"1,271"
"Lonoke County, Arkansas","68,646","61,624","4,386",368,733,50,"1,485","5,369"
"Madison County, Arkansas","15,372","14,275",41,235,102,246,473,"1,149"
"Marion County, Arkansas","15,865","15,569",20,138,56,5,77,961
"Miller County, Arkansas","40,259","28,036","10,988",281,205,4,745,"2,341"
"Mississippi County, Arkansas","38,908","23,208","14,323",99,245,8,"1,025","1,777"
"Monroe County, Arkansas","6,542","3,568","2,760",35,28,7,144,257
"Montgomery County, Arkansas","7,979","7,577",18,103,50,5,226,505
"Nevada County, Arkansas","7,927","5,218","2,444",45,45,0,175,383
"Newton County, Arkansas","6,824","6,689",7,71,24,2,31,401
"Ouachita County, Arkansas","21,518","12,194","8,899",71,126,3,225,"1,132"
"Perry County, Arkansas","9,452","9,165",107,54,12,1,113,567
"Phillips County, Arkansas","16,159","5,616","10,343",44,65,4,87,409
"Pike County, Arkansas","9,543","8,681",241,94,16,2,509,628
"Poinsett County, Arkansas","21,799","19,391","1,783",102,61,1,461,"1,166"
"Polk County, Arkansas","17,563","16,428",43,366,100,9,617,"1,658"
"Pope County, Arkansas","58,219","51,409","2,100",609,679,23,"3,399","5,162"
"Prairie County, Arkansas","7,980","6,964",925,23,21,3,44,302
"Pulaski County, Arkansas","373,831","199,197","143,548","2,226","10,035",225,"18,600","25,294"
